# time  ID  size  fromHost  toHost  TTL  isResponse
205.6165 M106 1877580 dtn5_35 ADB9 140 N 
206.9821 M107 1626408 dtn3_29 ADB9 140 N 
211.6978 M108 2987978 dtn3_29 ADB9 140 N 
212.4002 M109 2444285 dtn2_26 ADB9 140 N 
215.7333 M110 1591502 dtn2_28 ADB9 140 N 
218.3045 M111 1619743 dtn5_35 ADB9 140 N 
223.5307 M112 1077575 dtn4_33 ADB9 140 N 
227.7763 M113 2440506 dtn6_38 ADB9 140 N 
227.8875 M114 1422507 dtn2_28 ADB9 140 N 
228.2759 M115 1667043 dtn6_38 ADB9 140 N 
231.5204 M116 1870121 dtn6_38 ADB9 140 N 
231.6226 M117 1357260 dtn8_44 ADB9 140 N 
235.4141 M118 1469448 dtn1_24 ADB9 140 N 
235.4173 M119 1116020 dtn5_36 ADB9 140 N 
235.4314 M120 2838494 dtn1_23 ADB9 140 N 
236.6146 M121 1353946 dtn1_24 ADB9 140 N 
237.5061 M122 2474057 dtn7_43 ADB9 140 N 
241.5912 M123 1299189 dtn2_28 ADB9 140 N 
241.8419 M124 2719389 dtn8_45 ADB9 140 N 
247.6515 M125 1350687 dtn8_44 ADB9 140 N 
248.7371 M126 2919015 dtn7_43 ADB9 140 N 
252.2290 M127 1563385 dtn8_45 ADB9 140 N 
253.1325 M128 1866374 dtn2_27 ADB9 140 N 
257.1530 M129 2802760 dtn7_41 ADB9 140 N 
263.4389 M130 1311974 dtn2_26 ADB9 140 N 
263.7436 M131 1727857 dtn4_32 ADB9 140 N 
265.5466 M132 2899694 dtn3_29 ADB9 140 N 
266.0187 M133 1400307 dtn2_27 ADB9 140 N 
267.4549 M134 2263147 dtn7_41 ADB9 140 N 
268.9569 M135 2327479 dtn5_35 ADB9 140 N 
270.7588 M136 2846401 dtn8_46 ADB9 140 N 
270.8275 M137 1906766 dtn3_31 ADB9 140 N 
273.0735 M138 2912498 dtn8_46 ADB9 140 N 
274.1396 M139 1430082 dtn7_43 ADB9 140 N 
276.7126 M140 2647816 dtn1_24 ADB9 140 N 
278.1472 M141 1968721 dtn2_27 ADB9 140 N 
278.4069 M142 1253029 dtn6_40 ADB9 140 N 
278.5958 M143 1251567 dtn3_30 ADB9 140 N 
279.3996 M144 1064851 dtn8_46 ADB9 140 N 
282.4774 M145 2424739 dtn4_34 ADB9 140 N 
